case_id,policy_id,condition_id,family,sampling_seed,score_status,valid_for_scoring,invalid_reasons,missing_scoring_inputs,missing_report_inputs,raw_directory,authoritative_directory,observation_delay_s,inference_delay_add_s,collision_coverage,sensor_uncertainty,observed_reach_before_closure,scored_reach_before_closure,observed_acquired,scored_acquired,observed_lifted,scored_lifted,observed_carried,scored_carried,observed_released_in_bin,scored_released_in_bin,observed_full_task,scored_full_task,observed_dropped,scored_dropped,observed_support_verified,scored_support_verified,support_required,support_telemetry_status,support_confirmation_s,packet_robot_contact_peak_n,packet_bin_contact_peak_n,event_reach_s,event_closure_s,event_acquisition_s,event_lift_s,event_carry_s,event_release_in_bin_s,event_full_task_s,event_first_drop_s,max_lift_m,carry_distance_m,final_inside_bin,final_contacts_unloaded,final_speed_m_s,final_angular_speed_rad_s,minimum_pad_midpoint_to_object_m,bilateral_contact_duration_s,pad_packet_normal_force_peak_n,reach_distance_before_first_additional_closure_m,first_additional_closing_command_s,stop_reason,ik_rejects,hold_duration_s,stale_plan_hold_rows,replans,plans_activated,inference_errors,execution_rows,collision_reported_count,pad_environment_force_peak_n,physics_clock_max_error_s,duration_s,runtime_status,first_stop_time_s,terminal_event_kinds,logged_safety_event_counts,placement_release_commits,placement_release_commit_times_s,placement_release_events,playback_cap_dwell_rows,playback_cap_dwell_s,last_release_phase,terminal_cause,physical_completion_before_later_stop,completion_to_later_stop_s,full_task_final_inside_and_unloaded,packet_robot_contact_final_n,packet_bin_contact_final_n,full_task_final_robot_unloaded_bin_supported,packet_robot_peak_over_100n,latency_native_count,latency_native_mean_s,latency_native_median_s,latency_native_p95_s,latency_native_max_s,latency_delivery_count,latency_delivery_mean_s,latency_delivery_median_s,latency_delivery_p95_s,latency_delivery_max_s,latency_activation_count,latency_activation_mean_s,latency_activation_median_s,latency_activation_p95_s,latency_activation_max_s,latency_wall_count,latency_wall_mean_s,latency_wall_median_s,latency_wall_p95_s,latency_wall_max_s,video_path,video_present,scene_video_path,scene_video_present,video_relative_path,shared_controller_tactile_not_student_model_input
student_ftA_r1__nominal__seed4242,student_ftA_r1,nominal,nominal,4242,scored,True,,,,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/campaign/rollouts/student_ftA_r1__nominal__seed4242,/home/physicalai/phantom-icra-2027/sim/waffles/runs/student_nominal_smoke_v1/campaign/rollouts/student_ftA_r1__nominal__seed4242,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,109.40261363983154,0.0,6.336,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,False,False,1.1974147387913095e-06,8.989978012776331e-05,0.01519464701020773,0.0,109.40261840820312,0.252823974279481,1.18,safety_stop,0,0.0,0,11,10,0,950,0,0.0,4.5559555239549354e-07,9.592,completed,7.596,wrench_limit,"{""wrench_limit"": 1}",0,[],"[{""t"": 7.596, ""event"": ""safety_preempted""}]",0,0.0,unarmed,wrench_limit,False,NA,False,57.72864627838135,0.0,False,True,11,0.6717884404775263,0.6195386829786003,0.9041388210607693,0.9133237081114203,11,0.6717884404775263,0.6195386829786003,0.9041388210607693,0.9133237081114203,10,0.6824,0.6319999999999997,0.9092000000000003,0.9199999999999999,11,0.7159086955414916,0.6640976880444214,0.946600524999667,0.9552583609474823,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/video_reviews/student_ftA_r1__nominal__seed4242/policy_review.mp4,True,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/campaign/rollouts/student_ftA_r1__nominal__seed4242/sim.mp4,False,../video_reviews/student_ftA_r1__nominal__seed4242/policy_review.mp4,True
student_ftA_r1__nominal__seed4243,student_ftA_r1,nominal,nominal,4243,scored,True,,,,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/campaign/rollouts/student_ftA_r1__nominal__seed4243,/home/physicalai/phantom-icra-2027/sim/waffles/runs/student_nominal_smoke_v1/campaign/rollouts/student_ftA_r1__nominal__seed4243,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,117.9980006814003,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,False,False,0.000653201841834738,0.010379827953075335,0.02355742022498385,0.0,117.99800109863281,0.23452339494331856,1.588,safety_stop,0,0.0,0,12,11,0,1093,0,0.0,5.099326365609613e-07,10.736,completed,8.74,wrench_limit,"{""wrench_limit"": 1}",0,[],"[{""t"": 8.74, ""event"": ""safety_preempted""}]",0,0.0,unarmed,wrench_limit,False,NA,False,45.473392486572266,0.0,False,True,12,0.7147370069287717,0.6322631985531189,0.9149051661079284,0.9175941650755703,12,0.7147370069287717,0.6322631985531189,0.9149051661079284,0.9175941650755703,11,0.7287272727272726,0.6399999999999997,0.9199999999999999,0.9199999999999999,12,0.7578056774121554,0.6753602874814533,0.9569095430255402,0.9607047300087288,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/video_reviews/student_ftA_r1__nominal__seed4243/policy_review.mp4,True,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/campaign/rollouts/student_ftA_r1__nominal__seed4243/sim.mp4,False,../video_reviews/student_ftA_r1__nominal__seed4243/policy_review.mp4,True
student_v5_6__nominal__seed4242,student_v5_6,nominal,nominal,4242,scored,True,,,,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/campaign/rollouts/student_v5_6__nominal__seed4242,/home/physicalai/phantom-icra-2027/sim/waffles/runs/student_nominal_smoke_v1/campaign/rollouts/student_v5_6__nominal__seed4242,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,60.845008850097656,0.0,6.868,7.2,NA,NA,NA,NA,NA,NA,2.2351741790771484e-08,0.0,False,True,0.0,1.0536712127723733e-06,0.010945718165741953,0.0,60.845008850097656,0.252823974279481,1.18,safety_stop,0,0.0,0,20,19,0,1648,0,0.0,7.208213208542702e-07,15.176,completed,13.18,hitbox_exit_top,"{""hitbox_exit_top"": 1}",0,[],"[{""t"": 13.18, ""event"": ""safety_preempted""}]",0,0.0,unarmed,hitbox_exit_top,False,NA,False,0.0,0.0,False,False,20,0.6501650660124142,0.6185182860353962,0.8966053385229316,0.9168721530586481,20,0.6501650660124142,0.6185182860353962,0.8966053385229316,0.9168721530586481,19,0.6568421052631579,0.6240000000000006,0.8983999999999999,0.9199999999999999,20,0.693190275656525,0.6615637610666454,0.9405185017734766,0.9599007590441033,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/video_reviews/student_v5_6__nominal__seed4242/policy_review.mp4,True,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/campaign/rollouts/student_v5_6__nominal__seed4242/sim.mp4,False,../video_reviews/student_v5_6__nominal__seed4242/policy_review.mp4,True
student_v5_6__nominal__seed4243,student_v5_6,nominal,nominal,4243,scored,True,,,,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/campaign/rollouts/student_v5_6__nominal__seed4243,/home/physicalai/phantom-icra-2027/sim/waffles/runs/student_nominal_smoke_v1/campaign/rollouts/student_v5_6__nominal__seed4243,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,0.0,0.0,NA,8.736,NA,NA,NA,NA,NA,NA,0.0,0.0,False,True,0.0,0.0,0.04966573689783009,0.0,0.0,0.252823974279481,1.188,safety_stop,0,0.0,0,23,22,0,1900,0,0.0,8.165761826717244e-07,17.192,completed,15.196,wrist_extension,"{""wrist_extension"": 1}",0,[],"[{""t"": 15.196, ""event"": ""safety_preempted""}]",0,0.0,unarmed,wrist_extension,False,NA,False,0.0,0.0,False,False,23,0.6579243547192005,0.6156878970796242,0.9027869890560396,0.9201032969867811,23,0.6579243547192005,0.6156878970796242,0.9027869890560396,0.9201032969867811,22,0.6640000000000001,0.620000000000001,0.9039999999999999,0.9279999999999999,23,0.7014317387846581,0.6599312390899286,0.9466336905956269,0.9618986380519345,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/video_reviews/student_v5_6__nominal__seed4243/policy_review.mp4,True,/home/agent/skoltech/research/artifacts/isaac_waffles/student_nominal_smoke_v1/campaign/rollouts/student_v5_6__nominal__seed4243/sim.mp4,False,../video_reviews/student_v5_6__nominal__seed4243/policy_review.mp4,True
